combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,eval_tau,mae_uns_eval_split,eval_split
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,2,0.146152,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,3,0.225869,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,4,0.270674,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,5,0.305233,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,6,0.334810,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,8,0.386072,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,10,0.415246,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,12,0.490530,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,1,0.085944,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,2,0.181811,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,3,0.249288,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,4,0.334420,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,5,0.443936,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,6,0.522602,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,8,0.741293,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,10,0.949611,false
vcip_cancer_default,2020,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224,12,1.126705,false
